id;film_id;title;description;release_year;rental_duration;rental_rate;length;replacement_cost;rating;last_update;special_features;fulltext;language_id
1;80146;Account Cotton;Concrete;1837;85866;77032;18455;49138;Nuevo Ergonomic Consultant;2021-12-08T16:08:07;Security;firewall Chicken Usability;1
2;32911;magenta;Awesome metrics;61810;93540;53950;82894;10037;Dynamic;2021-12-08T20:32:50;Future Awesome Steel;RSS copy Soft;2
3;44145;matrix;fuchsia invoice;83193;53119;36124;16087;97749;bandwidth Indonesia;2021-12-08T01:31:55;Account Factors engineer;Beauty Bedfordshire;3
4;63860;Sleek Bedfordshire synthesizing;Plastic connect;3736;81876;23557;32120;36388;bottom-line Baby system-worthy;2021-12-08T11:49:45;front-end Cheese;unleash;4
5;36783;generation Account mint;red e-tailers Table;28561;42350;50257;46530;22256;Kuwait Mountain National;2021-12-08T11:32:48;non-volatile SMS;array;5
6;38050;Mississippi Latvia Chicken;Rustic connect extranet;81848;75751;38300;14835;43702;Account Forges;2021-12-08T02:10:22;hub Card;neural Automotive Drive;6
7;79303;Garden;card clear-thinking Intelligent;63057;18226;49780;80793;29606;Shoes;2021-12-08T06:57:53;Research;Chair Seychelles;7
8;43294;Concrete;human-resource Handmade;80645;56557;81631;77210;21176;Bike green;2021-12-08T23:46:59;Poland sky enterprise;deposit;8
9;24322;Health HTTP Customer;orchid XML;91319;67928;48097;32176;14285;Litas;2021-12-08T15:06:50;Cambridgeshire gold access;invoice methodology Egypt;9
10;16867;Dollar Triple-buffered Surinam;Division;94629;94232;4365;16475;69119;Functionality Tactics;2021-12-08T12:19:01;sexy integrate Accountability;connecting;10
