id;rental_id;rental_date;return_date;last_update;inventory_id;customer_id;staff_id
1;22377;2021-12-08T13:35:19;2021-12-08T08:53:58;2021-12-08T09:47:01;1;1;1
2;6666;2021-12-08T16:51:14;2021-12-08T04:43:59;2021-12-08T17:53:21;2;2;2
3;20768;2021-12-08T20:20:56;2021-12-08T03:56:13;2021-12-08T08:08:20;3;3;3
4;59760;2021-12-08T13:01:00;2021-12-08T15:55:25;2021-12-08T20:56:54;4;4;4
5;71609;2021-12-08T10:07:17;2021-12-08T21:38:31;2021-12-08T14:11:52;5;5;5
6;11076;2021-12-08T07:05:20;2021-12-08T04:12:54;2021-12-08T00:29:33;6;6;6
7;65553;2021-12-08T04:00:58;2021-12-08T19:44:55;2021-12-08T15:34:40;7;7;7
8;1384;2021-12-08T23:14:19;2021-12-08T10:59:19;2021-12-08T13:58:55;8;8;8
9;60126;2021-12-08T10:15:34;2021-12-08T21:17:44;2021-12-08T04:09:57;9;9;9
10;99572;2021-12-08T14:04:44;2021-12-08T17:18:52;2021-12-08T08:15:26;10;10;10
